item_id,timestamp,target
60.125_5.125,04-01-1983,27.54
60.125_5.125,05-01-1983,27.11
60.125_5.125,06-01-1983,26.85
60.125_5.125,07-01-1983,26.84
60.125_5.125,08-01-1983,26.74
60.125_5.125,09-01-1983,27.2
60.125_5.125,10-01-1983,27.36
60.125_5.125,11-01-1983,27.43
60.125_5.125,12-01-1983,27.06
60.125_5.125,13-01-1983,26.11
60.125_5.125,14-01-1983,26.18
60.125_5.125,15-01-1983,26.37
60.125_5.125,16-01-1983,26.08
60.125_5.125,17-01-1983,26.8
60.125_5.125,18-01-1983,27.04
60.125_5.125,19-01-1983,27.02
60.125_5.125,20-01-1983,26.76
60.125_5.125,21-01-1983,27.66
60.125_5.125,22-01-1983,27.82
60.125_5.125,23-01-1983,27.55
60.125_5.125,24-01-1983,27.16
60.125_5.125,25-01-1983,27.69
60.125_5.125,26-01-1983,27.72
60.125_5.125,27-01-1983,27.69
60.125_5.125,28-01-1983,27.75
60.125_5.125,29-01-1983,27.68
60.125_5.125,30-01-1983,27.94
60.125_5.125,31-01-1983,28
60.125_5.125,01-02-1983,28.02
60.125_5.125,02-02-1983,28
60.125_5.125,03-02-1983,28.2
60.125_5.125,04-02-1983,28.2
60.125_5.125,05-02-1983,28.28
60.125_5.125,06-02-1983,28.44
60.125_5.125,07-02-1983,28.44
60.125_5.125,08-02-1983,28.36
60.125_5.125,09-02-1983,28.34
60.125_5.125,10-02-1983,28.19
60.125_5.125,11-02-1983,28.44
60.125_5.125,12-02-1983,28.42
60.125_5.125,13-02-1983,28.09
60.125_5.125,14-02-1983,28.16
60.125_5.125,15-02-1983,27.8
60.125_5.125,16-02-1983,27.75
60.125_5.125,17-02-1983,28.12
60.125_5.125,18-02-1983,28.06
60.125_5.125,19-02-1983,28.02
60.125_5.125,20-02-1983,28.09
60.125_5.125,21-02-1983,28.13
60.125_5.125,22-02-1983,28.2
60.125_5.125,23-02-1983,27.9
60.125_5.125,24-02-1983,27.37
60.125_5.125,25-02-1983,27.69
60.125_5.125,26-02-1983,28.25
60.125_5.125,27-02-1983,28.41
60.125_5.125,28-02-1983,27.94
60.125_5.125,01-03-1983,27.94
60.125_5.125,02-03-1983,28.64
60.125_5.125,03-03-1983,28.29
60.125_5.125,04-03-1983,27.64
60.125_5.125,05-03-1983,27.92
60.125_5.125,06-03-1983,28.11
60.125_5.125,07-03-1983,28.13
60.125_5.125,08-03-1983,28.48
60.125_5.125,09-03-1983,28.61
60.125_5.125,10-03-1983,28.54
60.125_5.125,11-03-1983,28.24
60.125_5.125,12-03-1983,27.49
60.125_5.125,13-03-1983,26.64
60.125_5.125,14-03-1983,26.41
60.125_5.125,15-03-1983,27.56
60.125_5.125,16-03-1983,28.02
60.125_5.125,17-03-1983,28.39
60.125_5.125,18-03-1983,28.53
60.125_5.125,19-03-1983,28.64
60.125_5.125,20-03-1983,28.33
60.125_5.125,21-03-1983,28.08
60.125_5.125,22-03-1983,28.23
60.125_5.125,23-03-1983,28.43
60.125_5.125,24-03-1983,28.56
60.125_5.125,25-03-1983,28.74
60.125_5.125,26-03-1983,28.79
60.125_5.125,27-03-1983,28.73
60.125_5.125,28-03-1983,27.97
60.125_5.125,29-03-1983,27.4
60.125_5.125,30-03-1983,27.17
60.125_5.125,31-03-1983,28.2
60.125_5.125,01-04-1983,28.93
60.125_5.125,02-04-1983,29.07
60.125_5.125,03-04-1983,28.9
60.125_5.125,04-04-1983,28.69
60.125_5.125,05-04-1983,28.63
60.125_5.125,06-04-1983,28.89
60.125_5.125,07-04-1983,28.88
60.125_5.125,08-04-1983,29.3
60.125_5.125,09-04-1983,29.53
60.125_5.125,10-04-1983,29.57
60.125_5.125,11-04-1983,29.61
60.125_5.125,12-04-1983,29.73
60.125_5.125,13-04-1983,29.79
60.125_5.125,14-04-1983,29.43
60.125_5.125,15-04-1983,29.31
60.125_5.125,16-04-1983,29.33
60.125_5.125,17-04-1983,30.14
60.125_5.125,18-04-1983,29.53
60.125_5.125,19-04-1983,29.42
60.125_5.125,20-04-1983,29.31
60.125_5.125,21-04-1983,29.72
60.125_5.125,22-04-1983,29.47
60.125_5.125,23-04-1983,29.34
60.125_5.125,24-04-1983,29.35
60.125_5.125,25-04-1983,29.68
60.125_5.125,26-04-1983,29.63
60.125_5.125,27-04-1983,29.45
60.125_5.125,28-04-1983,29.12
60.125_5.125,29-04-1983,29.12
60.125_5.125,30-04-1983,29.59
60.125_5.125,01-05-1983,29.48
60.125_5.125,02-05-1983,29.53
60.125_5.125,03-05-1983,29.09
60.125_5.125,04-05-1983,29.07
60.125_5.125,05-05-1983,29.12
60.125_5.125,06-05-1983,28.97
60.125_5.125,07-05-1983,29.06
60.125_5.125,08-05-1983,29.66
60.125_5.125,09-05-1983,29.65
60.125_5.125,10-05-1983,29.16
60.125_5.125,11-05-1983,29.19
60.125_5.125,12-05-1983,29.57
60.125_5.125,13-05-1983,29.73
60.125_5.125,14-05-1983,29.48
60.125_5.125,15-05-1983,29.35
60.125_5.125,16-05-1983,29.94
60.125_5.125,17-05-1983,30.44
60.125_5.125,18-05-1983,30.45
60.125_5.125,19-05-1983,30.07
60.125_5.125,20-05-1983,29.83
60.125_5.125,21-05-1983,30.59
60.125_5.125,22-05-1983,30.74
60.125_5.125,23-05-1983,30.84
60.125_5.125,24-05-1983,31.07
60.125_5.125,25-05-1983,31.49
60.125_5.125,26-05-1983,31.63
60.125_5.125,27-05-1983,31.17
60.125_5.125,28-05-1983,30.46
60.125_5.125,29-05-1983,30.29
60.125_5.125,30-05-1983,30.2
60.125_5.125,31-05-1983,30.33
60.125_5.125,01-06-1983,30.36
60.125_5.125,02-06-1983,30.24
60.125_5.125,03-06-1983,30.32
60.125_5.125,04-06-1983,30.38
60.125_5.125,05-06-1983,30.8
60.125_5.125,06-06-1983,30.96
60.125_5.125,07-06-1983,30.9
60.125_5.125,08-06-1983,30.76
60.125_5.125,09-06-1983,30.72
60.125_5.125,10-06-1983,30.41
60.125_5.125,11-06-1983,30.15
60.125_5.125,12-06-1983,30.26
60.125_5.125,13-06-1983,30.23
60.125_5.125,14-06-1983,30.07
60.125_5.125,15-06-1983,29.75
60.125_5.125,16-06-1983,29.76
